block_id	offset	vm_address	encoded_length	text	context_kind	previous_address	previous_distance	previous_row	next_address	next_distance	next_row
1	0x010B	0x810B	3	DUEL	short_choice_or_label	0x80CA	65	0x80CA 0x00 EXIT	0x835A	591	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x011E	0x811E	3	PREV	short_choice_or_label	0x80CA	84	0x80CA 0x00 EXIT	0x835A	572	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x0165	0x8165	6	DROPBUCK	short_choice_or_label	0x80CA	155	0x80CA 0x00 EXIT	0x835A	501	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x016D	0x816D	3	PREV	short_choice_or_label	0x80CA	163	0x80CA 0x00 EXIT	0x835A	493	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x01A0	0x81A0	5	SPRITE	short_choice_or_label	0x80CA	214	0x80CA 0x00 EXIT	0x835A	442	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x01A7	0x81A7	5	BOXPIC	short_choice_or_label	0x80CA	221	0x80CA 0x00 EXIT	0x835A	435	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x01BA	0x81BA	3	PREV	short_choice_or_label	0x80CA	240	0x80CA 0x00 EXIT	0x835A	416	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x0297	0x8297	9	X POSITION:	label_fragment	0x80CA	461	0x80CA 0x00 EXIT	0x835A	195	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x02A9	0x82A9	9	Y POSITION:	label_fragment	0x80CA	479	0x80CA 0x00 EXIT	0x835A	177	0x835A 0x09 SAVE area1.event_word_258 = 0
1	0x03BC	0x83BC	17	FIGHT WHICH SHIP TYPE?	inline_text_fragment	0x836C	80	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0452	0x8452	6	SHIP #	short_choice_or_label	0x836C	230	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0629	0x8629	4	SKILL	short_choice_or_label	0x836C	701	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0640	0x8640	3	VIEW	short_choice_or_label	0x836C	724	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x068F	0x868F	6	PRSKILL	short_choice_or_label	0x836C	803	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0700	0x8700	8	WHICH ONE?	short_choice_or_label	0x836C	916	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0750	0x8750	7	PERSON #	short_choice_or_label	0x836C	996	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x07C3	0x87C3	8	WHICH ONE?	short_choice_or_label	0x836C	1111	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0814	0x8814	7	PERSON #	short_choice_or_label	0x836C	1192	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0887	0x8887	8	WHICH ONE?	short_choice_or_label	0x836C	1307	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0933	0x8933	7	PERSON #	short_choice_or_label	0x836C	1479	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0A34	0x8A34	5	BIGPIC	short_choice_or_label	0x836C	1736	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0A49	0x8A49	3	WILD	short_choice_or_label	0x836C	1757	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
1	0x0A65	0x8A65	6	PICTURE:	label_fragment	0x836C	1785	0x836C 0x20 NEWECL <load ECL area2.event_scratch1 and exit>			
17	0x09D0	0x89D0	6	EPHESUS	short_choice_or_label	0x89CD	3	0x89CD 0x09 SAVE scratch.word_0000 = abs_0006	0x89D9	9	0x89D9 0x09 SAVE scratch.word_0208 = abs_0004
17	0x18E0	0x98E0	9	HELP ROMNEY	short_choice_or_label	0x96DD	515	"0x96DD 0x12 PRINTCLEAR ""A MAN CARRYING A BUNDLE OF PAPERS RUSHES UP TO YOU. HE GRABS YOUR ARM DESPERATELY. 'I AM DR. ROMNEY. PLEASE HELP ME GET TO THE SUN KING. IT IS MOST URGENT.'"""	0x9B80	672	0x9B80 0x03 COMPARE Values: 0 == abs_C04E
17	0x212F	0xA12F	10	SOMEONE ELSE?	short_choice_or_label	0xA0AA	133	"0xA0AA 0x12 PRINTCLEAR ""THE AUTODOCS HUM SOOTHINGLY. 'DO YOU NEED HEALING?'"""	0xA176	71	0xA176 0x09 SAVE scratch.word_0208 = abs_0005
18	0x083B	0x883B	12	BUCK CONTINUES,	short_choice_or_label	0x82BA	1409	0x82BA 0x00 EXIT	0x9128	2285	0x9128 0x09 SAVE area1.LastEclBlockId = 18
18	0x191A	0x991A	7	WHO BETS?	short_choice_or_label	0x9895	133	0x9895 0x12 PRINTCLEAR 'AN UNKEMPT LOOKING ROCKET JOCK STEPS UP.'	0x9B01	487	0x9B01 0x0E PICTURE block_id: 80
18	0x1D6C	0x9D6C	7	HOW MUCH?	short_choice_or_label	0x9D42	42	0x9D42 0x12 PRINTCLEAR 'YOU LEAVE THE BAR.'			
19	0x12D6	0x92D6	4	BLUFF	short_choice_or_label	0x925F	119	0x925F 0x01 GOTO 0x004C	0x957C	678	0x957C 0x04 ADD area1.event_word_204 = 1 + area1.event_word_204
19	0x1874	0x9874	4	HULL:	label_fragment	0x9850	36	0x9850 0x13 RETURN	0x9B85	785	0x9B85 0x09 SAVE area1.event_word_204 = 0
19	0x1893	0x9893	6	SENSORS:	label_fragment	0x9850	67	0x9850 0x13 RETURN	0x9B85	754	0x9B85 0x09 SAVE area1.event_word_204 = 0
19	0x18B4	0x98B4	7	CONTROLS:	label_fragment	0x9850	100	0x9850 0x13 RETURN	0x9B85	721	0x9B85 0x09 SAVE area1.event_word_204 = 0
19	0x18F7	0x98F7	6	ENGINES:	label_fragment	0x9850	167	0x9850 0x13 RETURN	0x9B85	654	0x9B85 0x09 SAVE area1.event_word_204 = 0
20	0x02FB	0x82FB	6	DEPOSIT	short_choice_or_label	0x82F4	7	0x82F4 0x01 GOTO 0x004C	0x8464	361	0x8464 0x09 SAVE scratch.word_0216 = 0
20	0x033A	0x833A	8	WHICH ONE?	short_choice_or_label	0x82F4	70	0x82F4 0x01 GOTO 0x004C	0x8464	298	0x8464 0x09 SAVE scratch.word_0216 = 0
20	0x038C	0x838C	8	WHICH ONE?	short_choice_or_label	0x82F4	152	0x82F4 0x01 GOTO 0x004C	0x8464	216	0x8464 0x09 SAVE scratch.word_0216 = 0
20	0x1653	0x9653	7	HOW MUCH?	short_choice_or_label	0x9647	12	0x9647 0x13 RETURN	0x9661	14	0x9661 0x03 COMPARE Values: area1.event_word_28E == 0
20	0x18BE	0x98BE	9	EETBUGS B+G	short_choice_or_label	0x98A7	23	0x98A7 0x13 RETURN	0x9CE0	1058	0x9CE0 0x03 COMPARE Values: 2 == area1.event_word_202
20	0x1AE8	0x9AE8	6	CONVINCE	short_choice_or_label	0x98A7	577	0x98A7 0x13 RETURN	0x9CE0	504	0x9CE0 0x03 COMPARE Values: 2 == area1.event_word_202
20	0x1B07	0x9B07	10	WHO WILL TRY?	short_choice_or_label	0x98A7	608	0x98A7 0x13 RETURN	0x9CE0	473	0x9CE0 0x03 COMPARE Values: 2 == area1.event_word_202
20	0x1B3C	0x9B3C	10	WHO WILL TRY?	short_choice_or_label	0x98A7	661	0x98A7 0x13 RETURN	0x9CE0	420	0x9CE0 0x03 COMPARE Values: 2 == area1.event_word_202
33	0x0898	0x8898	7	RESIDENTS	short_choice_or_label	0x87D5	195	0x87D5 0x12 PRINTCLEAR 'A LOCKER ROOM MADE INTO A KITCHEN.'	0x89A7	271	0x89A7 0x2F AND area2.event_scratch0 = 64 & area1.event_word_2A8
33	0x0C7D	0x8C7D	9	HELP LEECHES	short_choice_or_label	0x8C23	90	0x8C23 0x00 EXIT	0x8DB2	309	0x8DB2 0x03 COMPARE Values: 0 == abs_C04E
33	0x16C8	0x96C8	6	DECLINE	short_choice_or_label	0x9672	86	0x9672 0x00 EXIT	0x973A	114	0x973A 0x03 COMPARE Values: 5 == area1.event_word_2AE
33	0x183C	0x983C	9	FIGHT MONKS	short_choice_or_label	0x97D2	106	0x97D2 0x00 EXIT	0x9A0B	463	0x9A0B 0x03 COMPARE Values: 5 == area1.event_word_2AE
33	0x1ADB	0x9ADB	4	CHEER	short_choice_or_label	0x9A3E	157	0x9A3E 0x00 EXIT	0x9B2C	81	0x9B2C 0x2F AND area2.event_scratch0 = 1 & area1.event_word_2B2
34	0x1726	0x9726	14	LOOK FOR HIS NOTES	inline_text_fragment	0x966D	185	"0x966D 0x12 PRINTCLEAR ""CHADE BEGINS SEARCHING THE ROOM, THEN SUDDENLY PULLS UP AND COCKS HIS HEAD TO ONE SIDE AS THOUGH LISTENING. 'WE MUST FIND MY DAUGHTER RIGHT AWAY. FORGET MY NOTES.'"""	0x9851	299	0x9851 0x03 COMPARE Values: 0 == abs_C04E
36	0x0186	0x8186	6	RISER?	short_choice_or_label	0x8183	3	0x8183 0x09 SAVE scratch.word_0208 = abs_0006	0x818F	9	0x818F 0x2F AND area2.event_scratch0 = 1 & area1.event_word_288
36	0x052E	0x852E	7	PICK LOCK	short_choice_or_label	0x8527	7	0x8527 0x01 GOTO 0x004C	0x876D	575	0x876D 0x09 SAVE area2.game_area = 1
36	0x053C	0x853C	4	KNOCK	short_choice_or_label	0x8527	21	0x8527 0x01 GOTO 0x004C	0x876D	561	0x876D 0x09 SAVE area2.game_area = 1
36	0x113A	0x913A	15	DOOR IN FRONT OF YOU	inline_text_fragment	0x90ED	77	0x90ED 0x00 EXIT	0x9212	216	0x9212 0x2F AND area2.event_scratch0 = 4 & area1.event_word_2C8
36	0x1CF2	0x9CF2	10	WHO WILL TRY?	short_choice_or_label	0x9C73	127	0x9C73 0x00 EXIT	0x9D0D	27	0x9D0D 0x09 SAVE area2.event_scratch2 = 1
37	0x0397	0x8397	8	GROTESQUES	short_choice_or_label	0x838B	12	0x838B 0x00 EXIT	0x83D6	63	0x83D6 0x2F AND area2.event_scratch0 = area1.event_word_206 & area1.event_word_2B4
37	0x03A3	0x83A3	9	WHITE MONKS	short_choice_or_label	0x838B	24	0x838B 0x00 EXIT	0x83D6	51	0x83D6 0x2F AND area2.event_scratch0 = area1.event_word_206 & area1.event_word_2B4
37	0x076C	0x876C	6	DECLINE	short_choice_or_label	0x8716	86	0x8716 0x00 EXIT	0x87D8	108	0x87D8 0x2F AND area2.event_scratch0 = 60 & area1.event_word_2B0
37	0x17D7	0x97D7	6	KILL HIM	short_choice_or_label	0x94AF	808	0x94AF 0x00 EXIT	0x97F2	27	0x97F2 0x2F AND area2.event_scratch0 = 4 & area1.event_word_2B6
37	0x2345	0xA345	10	WHO WILL TRY?	short_choice_or_label	0xA28B	186	0xA28B 0x11 PRINT ' NOTICES A TRIPWIRE STRETCHED ACROSS THE RUBBLE. DO YOU TRY TO DISARM THE DEMO CHARGES?'	0xA3D1	140	0xA3D1 0x2F AND area2.event_scratch0 = 1 & area1.event_word_2B2
38	0x093B	0x893B	13	SMOKING GUN SLOTS	short_choice_or_label	0x88F5	70	0x88F5 0x11 PRINT 'RED RIVER BAR'	0x8949	14	0x8949 0x03 COMPARE Values: area1.event_word_204 == 13
38	0x0B85	0x8B85	10	SOMEONE ELSE?	short_choice_or_label	0x8968	541	0x8968 0x12 PRINTCLEAR 'A MAN IN A RAGGED MILITARY UNIFORM SITS AGAINST THE WALL HERE.'	0x8BB9	52	0x8BB9 0x2F AND area2.event_scratch0 = 1 & area1.event_word_298
48	0x0F66	0x8F66	8	HIS SPEECH	short_choice_or_label	0x8EA8	190	0x8EA8 0x00 EXIT	0x8FA1	59	0x8FA1 0x09 SAVE mapDirection = 3
49	0x0455	0x8455	7	OPEN LOCK	short_choice_or_label	0x8451	4	0x8451 0x00 EXIT	0x852B	214	0x852B 0x2F AND area2.event_scratch0 = 1 & area1.event_word_2E6
50	0x0882	0x8882	10	HE CONTINUES,	short_choice_or_label	0x8840	66	"0x8840 0x12 PRINTCLEAR ""LEANDER MEETS YOU. 'THANKSS FOR TURNING OFF THE FIELD. WE MUSST SSTILL HURRY!'"""	0x88F3	113	0x88F3 0x12 PRINTCLEAR 'THE BODY OF A '
50	0x0F39	0x8F39	9	MOVE CLOSER	short_choice_or_label	0x8F04	53	0x8F04 0x00 EXIT	0x916F	566	0x916F 0x2F AND area2.event_scratch0 = 128 & area1.event_word_2FE
64	0x024E	0x824E	13	COPERNICUS POLICE	short_choice_or_label	0x824B	3	0x824B 0x09 SAVE scratch.word_0258 = abs_000D	0x825E	16	0x825E 0x01 GOTO 0x9830
64	0x0450	0x8450	10	HE CONTINUES,	short_choice_or_label	0x8372	222	"0x8372 0x12 PRINTCLEAR ""A MAN IN LUNA GREY SHAKES YOUR HANDS. 'WELCOME. SORRY ABOUT YOUR SHIP, BUT THERE ARE A FEW PROBLEMS."""	0x8495	69	0x8495 0x03 COMPARE Values: 1 == area1.event_word_214
64	0x1475	0x9475	10	GIOTTO MINING	short_choice_or_label	0x9472	3	0x9472 0x09 SAVE scratch.word_0258 = abs_000A	0x9482	13	0x9482 0x01 GOTO 0x9830
64	0x2036	0xA036	10	WHO WILL TRY?	short_choice_or_label	0x9856	2016	0x9856 0x12 PRINTCLEAR 'THERE IS A VIDEO-PHONE HERE. DO YOU WISH TO USE IT?'	0xA308	722	0xA308 0x09 SAVE mapPosX = area1.lastXPos
64	0x204E	0xA04E	9	WHICH FILE?	short_choice_or_label	0x9856	2040	0x9856 0x12 PRINTCLEAR 'THERE IS A VIDEO-PHONE HERE. DO YOU WISH TO USE IT?'	0xA308	698	0xA308 0x09 SAVE mapPosX = area1.lastXPos
64	0x239E	0xA39E	3	PREV	short_choice_or_label	0xA357	71	0xA357 0x13 RETURN			
65	0x0740	0x8740	10	SHE CONTINUES	short_choice_or_label	0x8641	255	0x8641 0x00 EXIT	0x87F3	179	0x87F3 0x03 COMPARE Values: 1 == area1.event_word_21A
65	0x1765	0x9765	10	WHO WILL TRY?	short_choice_or_label	0x9761	4	0x9761 0x00 EXIT			
66	0x0932	0x8932	6	DECLINE	short_choice_or_label	0x8672	704	0x8672 0x11 PRINT 'THE AIR LOCK BEGINS CYCLING.'	0x8A10	222	0x8A10 0x0E PICTURE block_id: 30
66	0x0B57	0x8B57	9	HE CONTINUES	short_choice_or_label	0x8A13	324	"0x8A13 0x12 PRINTCLEAR ""'WELCOME TO THE ROGUE. I AM KILLER KANE. YOU MAY CALL ME MR. KANE. IT IS MOST UNFORTUNATE YOUR SHIP HAD SUCH...DIFFICULTIES."""	0x8EB0	857	0x8EB0 0x2F AND area2.event_scratch0 = 32 & area1.event_word_212
66	0x0B63	0x8B63	7	HIS OFFER	short_choice_or_label	0x8A13	336	"0x8A13 0x12 PRINTCLEAR ""'WELCOME TO THE ROGUE. I AM KILLER KANE. YOU MAY CALL ME MR. KANE. IT IS MOST UNFORTUNATE YOUR SHIP HAD SUCH...DIFFICULTIES."""	0x8EB0	845	0x8EB0 0x2F AND area2.event_scratch0 = 32 & area1.event_word_212
66	0x154B	0x954B	6	DECLINE	short_choice_or_label	0x94E6	101	0x94E6 0x00 EXIT	0x9602	183	0x9602 0x12 PRINTCLEAR 'THE CONTROL PANEL FOR THIS RESTRICTED ACCESS ELEVATOR REQUIRES A LOW LEVEL RAM SECURITY CARD.'
66	0x1C01	0x9C01	9	WHO TRIES?	short_choice_or_label	0x9B9F	98	0x9B9F 0x00 EXIT	0x9CCE	205	0x9CCE 0x12 PRINTCLEAR 'CREW MEMBERS IN EXERCISE OUTFITS PASS YOU. '
80	0x1674	0x9674	15	WILL SOMEONE TRY TO	inline_text_fragment	0x9652	34	"0x9652 0x11 PRINT ""'"""	0x9C4B	1495	0x9C4B 0x2F AND area2.event_scratch0 = 32 & area1.event_word_20A
80	0x17E6	0x97E6	9	CLOSE LINKS	short_choice_or_label	0x9652	404	"0x9652 0x11 PRINT ""'"""	0x9C4B	1125	0x9C4B 0x2F AND area2.event_scratch0 = 32 & area1.event_word_20A
80	0x19D7	0x99D7	6	HELP HIM	short_choice_or_label	0x9652	901	"0x9652 0x11 PRINT ""'"""	0x9C4B	628	0x9C4B 0x2F AND area2.event_scratch0 = 32 & area1.event_word_20A
80	0x238E	0xA38E	12	WHO WILL DO IT?	inline_text_fragment	0xA373	27	0xA373 0x13 RETURN			
81	0x020C	0x820C	8	WHO TRIES?	short_choice_or_label	0x81C0	76	"0x81C0 0x11 PRINT ""SHE EYES YOU WARILY. 'DO YOU HAVE BUSINESS WITH US?'"""	0x82C8	188	"0x82C8 0x12 PRINTCLEAR ""THE RECEPTIONIST TENSES. 'I DON'T KNOW WHO YOU THINK YOU ARE, BUT I KNOW HOW TO DEAL WITH YOU! GUARDS!'"""
81	0x0463	0x8463	8	OPEN LOCKS	short_choice_or_label	0x845F	4	0x845F 0x00 EXIT	0x84A6	67	0x84A6 0x14 COMPARE AND Values: 2 == mapDirection && 7 == mapPosX
81	0x1617	0x9617	10	HE CONTINUES	short_choice_or_label	0x9585	146	"0x9585 0x12 PRINTCLEAR ""AN EMACIATED MAN IN A TATTERED LAB COAT APPROACHES. IT'S DR. ROMNEY!"""	0x9639	34	0x9639 0x12 PRINTCLEAR 'DR. ROMNEY MEETS YOU IN THE HALL.'
82	0x02E3	0x82E3	5	WILBUR	short_choice_or_label	0x82AA	57	0x82AA 0x12 PRINTCLEAR 'A GUARD STEPS UP AND ASKS FOR A PASSWORD. WHAT DO YOU SAY?'	0x8310	45	0x8310 0x12 PRINTCLEAR 'THE GUARD LETS YOU THROUGH.'
82	0x0D0F	0x8D0F	4	ELROY	short_choice_or_label	0x8D0C	3	0x8D0C 0x03 COMPARE Values: 32633 == abs_0004	0x8D16	7	0x8D16 0x17 IF <> <if compare flag is false, skip next op>
82	0x1124	0x9124	10	WHO WILL TRY?	short_choice_or_label	0x90E8	60	0x90E8 0x12 PRINTCLEAR 'THERE IS A COMPUTER HERE. DO YOU ATTEMPT TO USE IT?'	0x91E5	193	0x91E5 0x2F AND area2.event_scratch0 = 32 & area1.event_word_34E
82	0x1161	0x9161	5	WILBUR	short_choice_or_label	0x90E8	121	0x90E8 0x12 PRINTCLEAR 'THERE IS A COMPUTER HERE. DO YOU ATTEMPT TO USE IT?'	0x91E5	132	0x91E5 0x2F AND area2.event_scratch0 = 32 & area1.event_word_34E
82	0x1329	0x9329	10	WHO WILL TRY?	short_choice_or_label	0x92EF	58	0x92EF 0x12 PRINTCLEAR 'YOU NOTE A SUBROUTINE CONTAINING PASSWORDS. DO YOU TRY TO ACCESS?'	0x9385	92	0x9385 0x2F AND area2.event_scratch0 = 64 & area1.event_word_34A
84	0x0350	0x8350	8	WHO TRIES?	short_choice_or_label	0x830E	66	0x830E 0x12 PRINTCLEAR 'THE TERMINAL OF THIS COMPUTER IS ACTIVE. DO YOU TRY TO OPERATE THE COMPUTER?'	0x839D	77	0x839D 0x12 PRINTCLEAR 'THE COMPUTER SCREEN READS:'
84	0x0880	0x8880	8	WHO TRIES?	short_choice_or_label	0x881C	100	0x881C 0x12 PRINTCLEAR 'SEARCHING THE LAB, YOU FIND PARTS OF A DISMANTLED LASER RIFLE.'	0x8905	133	0x8905 0x03 COMPARE Values: mapDirection == 2
84	0x0BED	0x8BED	6	KILL HIM	short_choice_or_label	0x8976	631	0x8976 0x00 EXIT	0x8C77	138	0x8C77 0x03 COMPARE Values: mapDirection == 0
84	0x1A0B	0x9A0B	8	WHO TRIES?	short_choice_or_label	0x99E1	42	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0xA1D0	1989	0xA1D0 0x03 COMPARE Values: mapDirection == 0
84	0x1A8B	0x9A8B	7	SEE FILES	short_choice_or_label	0x99E1	170	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0xA1D0	1861	0xA1D0 0x03 COMPARE Values: mapDirection == 0
84	0x1B0F	0x9B0F	7	SEE FILES	short_choice_or_label	0x99E1	302	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0xA1D0	1729	0xA1D0 0x03 COMPARE Values: mapDirection == 0
84	0x1B7B	0x9B7B	7	SEE FILES	short_choice_or_label	0x99E1	410	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0xA1D0	1621	0xA1D0 0x03 COMPARE Values: mapDirection == 0
84	0x1BE6	0x9BE6	7	SEE FILES	short_choice_or_label	0x99E1	517	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0xA1D0	1514	0xA1D0 0x03 COMPARE Values: mapDirection == 0
95	0x1091	0x9091	6	CHOOSE:	label_fragment	0x8EF5	412	0x8EF5 0x01 GOTO 0x004C	0x96F5	1636	0x96F5 0x01 GOTO 0x8D0E
95	0x10C3	0x90C3	9	HULL:	label_fragment	0x8EF5	462	0x8EF5 0x01 GOTO 0x004C	0x96F5	1586	0x96F5 0x01 GOTO 0x8D0E
95	0x10D4	0x90D4	9	SENSORS:	label_fragment	0x8EF5	479	0x8EF5 0x01 GOTO 0x004C	0x96F5	1569	0x96F5 0x01 GOTO 0x8D0E
95	0x10E5	0x90E5	9	CONTROLS:	label_fragment	0x8EF5	496	0x8EF5 0x01 GOTO 0x004C	0x96F5	1552	0x96F5 0x01 GOTO 0x8D0E
95	0x1107	0x9107	9	ENGINES:	label_fragment	0x8EF5	530	0x8EF5 0x01 GOTO 0x004C	0x96F5	1518	0x96F5 0x01 GOTO 0x8D0E
95	0x1153	0x9153	3	HULL	short_choice_or_label	0x8EF5	606	0x8EF5 0x01 GOTO 0x004C	0x96F5	1442	0x96F5 0x01 GOTO 0x8D0E
95	0x1167	0x9167	3	ENGN	short_choice_or_label	0x8EF5	626	0x8EF5 0x01 GOTO 0x004C	0x96F5	1422	0x96F5 0x01 GOTO 0x8D0E
95	0x12EF	0x92EF	6	MISSILE	short_choice_or_label	0x8EF5	1018	0x8EF5 0x01 GOTO 0x004C	0x96F5	1030	0x96F5 0x01 GOTO 0x8D0E
95	0x146D	0x946D	11	CURRENT FUEL:	label_fragment	0x8EF5	1400	0x8EF5 0x01 GOTO 0x004C	0x96F5	648	0x96F5 0x01 GOTO 0x8D0E
95	0x149D	0x949D	5	REFUEL	short_choice_or_label	0x8EF5	1448	0x8EF5 0x01 GOTO 0x004C	0x96F5	600	0x96F5 0x01 GOTO 0x8D0E
95	0x15C0	0x95C0	6	MISSILE	short_choice_or_label	0x8EF5	1739	0x8EF5 0x01 GOTO 0x004C	0x96F5	309	0x96F5 0x01 GOTO 0x8D0E
96	0x2293	0xA293	6	CONVINCE	short_choice_or_label	0xA1D7	188	0xA1D7 0x11 PRINT 'THEY ATTACK!'	0xA353	192	0xA353 0x03 COMPARE Values: 3 == area1.event_word_204
96	0x2310	0xA310	10	WHO WILL TRY?	short_choice_or_label	0xA1D7	313	0xA1D7 0x11 PRINT 'THEY ATTACK!'	0xA353	67	0xA353 0x03 COMPARE Values: 3 == area1.event_word_204
97	0x0040	0x8040	9	PE:PE:BPDB	short_choice_or_label	0x803F	1	0x803F 0x09 SAVE scratch.word_0002 = scratch.word_0002	0x8046	6	0x8046 0x09 SAVE scratch.word_0004 = scratch.word_0004
97	0x1B49	0x9B49	6	CONVINCE	short_choice_or_label	0x9AB4	149	0x9AB4 0x00 EXIT	0x9C6B	290	0x9C6B 0x12 PRINTCLEAR 'THE PASSAGE LEADS UP. DO YOU CONTINUE?'
97	0x1BC0	0x9BC0	10	WHO WILL TRY?	short_choice_or_label	0x9AB4	268	0x9AB4 0x00 EXIT	0x9C6B	171	0x9C6B 0x12 PRINTCLEAR 'THE PASSAGE LEADS UP. DO YOU CONTINUE?'
98	0x1FAA	0x9FAA	6	CONVINCE	short_choice_or_label	0x9EA3	263	0x9EA3 0x12 PRINTCLEAR 'THE WALLS HERE ARE LIVID AND BULGE WITH AN UNHEALTHY PULSE. DO YOU TRY TO TREAT IT?'	0xA02F	133	0xA02F 0x12 PRINTCLEAR 'THE WALLS HERE ARE POCK MARKED WITH HOLES. '
98	0x2021	0xA021	10	WHO WILL TRY?	short_choice_or_label	0x9EA3	382	0x9EA3 0x12 PRINTCLEAR 'THE WALLS HERE ARE LIVID AND BULGE WITH AN UNHEALTHY PULSE. DO YOU TRY TO TREAT IT?'	0xA02F	14	0xA02F 0x12 PRINTCLEAR 'THE WALLS HERE ARE POCK MARKED WITH HOLES. '
98	0x20A2	0xA0A2	8	USE DEVICE	short_choice_or_label	0xA08B	23	0xA08B 0x01 GOTO 0x004C	0xA0BB	25	0xA0BB 0x03 COMPARE Values: 0 == 1
112	0x19D3	0x99D3	5	DEFUSE	short_choice_or_label	0x9947	140	0x9947 0x12 PRINTCLEAR 'A TIME BOMB IS ATTACHED TO A COMPUTER CONSOLE. DO YOU TRY TO DISARM IT?'	0x9B35	354	0x9B35 0x03 COMPARE Values: mapDirection == 2
112	0x1AF6	0x9AF6	10	SOMEONE ELSE?	short_choice_or_label	0x9947	431	0x9947 0x12 PRINTCLEAR 'A TIME BOMB IS ATTACHED TO A COMPUTER CONSOLE. DO YOU TRY TO DISARM IT?'	0x9B35	63	0x9B35 0x03 COMPARE Values: mapDirection == 2
112	0x1FCB	0x9FCB	8	WHO TRIES?	short_choice_or_label	0x9ED5	246	"0x9ED5 0x11 PRINT "". A SMALL FIRE IS BURNING IN THIS ROOM, AND IT'S BEGINNING TO SPREAD."""	0xA06B	160	0xA06B 0x2F AND area2.event_scratch0 = 64 & area1.event_word_376
113	0x0600	0x8600	8	HIS SPEECH	short_choice_or_label	0x8060	1440	0x8060 0x00 EXIT	0x873C	316	0x873C 0x00 EXIT
113	0x0CCD	0x8CCD	12	YOU GO TO FLOOR	inline_text_fragment	0x8C81	76	0x8C81 0x12 PRINTCLEAR 'AN ELEVATOR. DO YOU USE IT?'	0x8D2D	96	0x8D2D 0x09 SAVE area2.event_scratch0 = 1
113	0x1725	0x9725	8	WHO TRIES?	short_choice_or_label	0x968A	155	0x968A 0x12 PRINTCLEAR 'YOU ENTER A COLD STORAGE ROOM.'	0x97AF	138	0x97AF 0x03 COMPARE Values: mapDirection == 1
114	0x2379	0xA379	12	WHO WILL DO IT?	inline_text_fragment	0xA348	49	0xA348 0x00 EXIT			
